constructeur,prix,carosserie,garantie,nombre de places,nombre de portes,nombredeCylindres,energie,puissance fiscale,puissance
https://www.automobile.tn/fr/neuf/alfa-romeo,198 000 DT TTC,Berline,3 ans,5,4,4,Essence,11 CV,200 CH
https://www.automobile.tn/fr/neuf/audi,265 000 DT TTC,SUV,3 ans,5,5,4,Essence,17 CV,280 CH
https://www.automobile.tn/fr/neuf/bako,145 000 DT TTC,Compacte,3 ans,5,5,4,Essence,8 CV,150 CH
https://www.automobile.tn/fr/neuf/bestune,149 000 DT TTC,Berline,3 ans,5,4,4,Essence,8 CV,150 CH
https://www.automobile.tn/fr/neuf/bmw,198 000 DT TTC,Berline,3 ans,5,4,4,Essence,8 CV,150 CH
https://www.automobile.tn/fr/neuf/byd,295 000 DT TTC,Berline,3 ans,5,4,4,Essence | Hybride léger,11 CV,190 CH
https://www.automobile.tn/fr/neuf/changan,159 000 DT TTC,SUV,3 ans,5,5,4,Essence,8 CV,150 CH
https://www.automobile.tn/fr/neuf/chery,205 000 DT TTC,SUV,3 ans,5,5,4,Essence,9 CV,150 CH
https://www.automobile.tn/fr/neuf/chevrolet,235 000 DT TTC,SUV,3 ans,5,5,4,Essence,9 CV,150 CH
https://www.automobile.tn/fr/neuf/citroen,445 000 DT TTC,SUV,3 ans,7,5,4,Essence,16 CV,252 CH
https://www.automobile.tn/fr/neuf/cupra,299 000 DT TTC,SUV,3 ans,5,5,2,Electrique,12 CV,408 CH
https://www.automobile.tn/fr/neuf/dacia,349 000 DT TTC,SUV,3 ans,5,5,2,Electrique,12 CV,408 CH
https://www.automobile.tn/fr/neuf/dfsk,360 000 DT TTC,Berline,3 ans,5,4,2,Electrique,37 CV,476 CH
https://www.automobile.tn/fr/neuf/dongfeng,329 900 DT TTC,Coupé,5 ans (2+3),5,2,4,Essence,10 CV,184 CH
https://www.automobile.tn/fr/neuf/faw,782 900 DT TTC,Berline,5 ans (2+3),5,4,6,Essence | Hybride léger,26 CV,381 CH
https://www.automobile.tn/fr/neuf/fiat,434 900 DT TTC,SUV,5,5,4,Essence,11 CV,184 CH,300 nm 1350 tr/min
https://www.automobile.tn/fr/neuf/foday,284 900 DT TTC,SUV,5 ans (2+3),5,5,1,Electrique,8 CV,286 CH
https://www.automobile.tn/fr/neuf/ford,333 200 DT TTC,Berline,5 ans (2+3),5,4,1,Electrique,N.C. CV,340 CH
https://www.automobile.tn/fr/neuf/gac-motor,431 900 DT TTC,SUV,5 ans (2+3),5,5,2,Electrique,11 CV,326 CH
https://www.automobile.tn/fr/neuf/geely,94 990 DT TTC,Compacte,6 ans ou 150.000 km | Batterie garantie 8 ans,5,5,1,Electrique,5 CV,95 CH
https://www.automobile.tn/fr/neuf/great-wall,105 990 DT TTC,Berline,6 ans ou 150.000 km | Batterie garantie 8 ans,5,4,4,Essence | Hybride rechargeable,5 CV,187 CH
https://www.automobile.tn/fr/neuf/haval,123 990 DT TTC,SUV,6 ans ou 150.000 km | Batterie garantie 8 ans,5,5,1,Electrique,5 CV,204 CH
https://www.automobile.tn/fr/neuf/honda,156 990 DT TTC,SUV,6 ans ou 150.000 km | Batterie garantie 8 ans,5,5,4,Essence | Hybride rechargeable,7 CV,265 CH
https://www.automobile.tn/fr/neuf/hyundai,229 990 DT TTC,SUV,6 ans ou 150.000 km | Batterie garantie 8 ans,7,5,2,Electrique,9 CV,516 CH
https://www.automobile.tn/fr/neuf/jac,39 900 DT TTC,1 an,Utilitaire,2,3 | 2 portes latérales coulissantes,4,Essence,6 CV,92 CH
https://www.automobile.tn/fr/neuf/jaguar,49 900 DT TTC,1 an,Pick up,5,4,4,Essence,7 CV,98 CH
https://www.automobile.tn/fr/neuf/jeep,123 046 DT TTC,3 ans ou 100.000 KM,Pick up,5,4,4,Diesel,6 CV,150 CH
https://www.automobile.tn/fr/neuf/kia,34 068 DT TTC,SUV,3 ans ou 100.000 KM,,5,5,3,Essence,4 CV
https://www.automobile.tn/fr/neuf/land-rover,66 990 DT TTC,SUV,5 ans ou 100000 km,5,5,3,Essence,6 CV,102 CH
https://www.automobile.tn/fr/neuf/mahindra,99 580 DT TTC,SUV,7 ans ou 200000 km,5,5,4,Essence,9 CV,147 CH
https://www.automobile.tn/fr/neuf/mercedes-benz,129 590 DT TTC,SUV,5 ans,7,5,4,Essence,11 CV,197 CH
https://www.automobile.tn/fr/neuf/mg,,,,,,,,,
https://www.automobile.tn/fr/neuf/mini,,,,,,,,,
https://www.automobile.tn/fr/neuf/mitsubishi,,,,,,,,,
https://www.automobile.tn/fr/neuf/nissan,,,,,,,,,
https://www.automobile.tn/fr/neuf/opel,,,,,,,,,
https://www.automobile.tn/fr/neuf/peugeot,,,,,,,,,
https://www.automobile.tn/fr/neuf/porsche,,,,,,,,,
https://www.automobile.tn/fr/neuf/renault,,,,,,,,,
https://www.automobile.tn/fr/neuf/seat,,,,,,,,,
https://www.automobile.tn/fr/neuf/skoda,,,,,,,,,
https://www.automobile.tn/fr/neuf/ssangyong,,,,,,,,,
https://www.automobile.tn/fr/neuf/suzuki,,,,,,,,,
https://www.automobile.tn/fr/neuf/tata,,,,,,,,,
https://www.automobile.tn/fr/neuf/toyota,,,,,,,,,
https://www.automobile.tn/fr/neuf/volkswagen,,,,,,,,,
https://www.automobile.tn/fr/neuf/volvo,,,,,,,,,
https://www.automobile.tn/fr/neuf/wallyscar,,,,,,,,,
